"Date","Time","PM10","Status","Unit"
"29-06-2020","23:00",20.29,"R","ugm-3 (Ref.eq)"
"29-06-2020","24:00",17.392,"R","ugm-3 (Ref.eq)"
"10-11-2020","01:00",9.662,"R","ugm-3 (Ref.eq)"
"10-11-2020","02:00",8.696,"R","ugm-3 (Ref.eq)"
"10-11-2020","03:00",5.797,"R","ugm-3 (Ref.eq)"
"10-11-2020","04:00",3.865,"R","ugm-3 (Ref.eq)"
"10-11-2020","05:00",2.899,"R","ugm-3 (Ref.eq)"
"10-11-2020","06:00",4.831,"R","ugm-3 (Ref.eq)"
"10-11-2020","07:00",9.662,"R","ugm-3 (Ref.eq)"
"10-11-2020","08:00",13.527,"R","ugm-3 (Ref.eq)"
"10-11-2020","09:00",12.561,"R","ugm-3 (Ref.eq)"
"10-11-2020","10:00",11.594,"R","ugm-3 (Ref.eq)"
"10-11-2020","11:00",10.628,"R","ugm-3 (Ref.eq)"
"10-11-2020","12:00",9.662,"R","ugm-3 (Ref.eq)"
"10-11-2020","13:00",9.662,"R","ugm-3 (Ref.eq)"
"10-11-2020","14:00",13.527,"R","ugm-3 (Ref.eq)"
"10-11-2020","15:00",11.594,"R","ugm-3 (Ref.eq)"
"10-11-2020","16:00",16.425,"R","ugm-3 (Ref.eq)"
"10-11-2020","17:00",17.392,"R","ugm-3 (Ref.eq)"
"10-11-2020","18:00",20.29,"R","ugm-3 (Ref.eq)"
"10-11-2020","19:00",22.223,"R","ugm-3 (Ref.eq)"
"10-11-2020","20:00",14.493,"R","ugm-3 (Ref.eq)"
"10-11-2020","21:00",12.561,"R","ugm-3 (Ref.eq)"
"10-11-2020","22:00",9.662,"R","ugm-3 (Ref.eq)"
"10-11-2020","23:00",7.73,"R","ugm-3 (Ref.eq)"
"10-11-2020","24:00",4.831,"R","ugm-3 (Ref.eq)"
"20-12-2020","01:00",20.29,"R","ugm-3 (Ref.eq)"
"20-12-2020","02:00",15.459,"R","ugm-3 (Ref.eq)"
"20-12-2020","03:00",13.527,"R","ugm-3 (Ref.eq)"
"20-12-2020","04:00",16.425,"R","ugm-3 (Ref.eq)"
"20-12-2020","05:00",12.561,"R","ugm-3 (Ref.eq)"
"20-12-2020","06:00",13.527,"R","ugm-3 (Ref.eq)"
"20-12-2020","07:00",11.594,"R","ugm-3 (Ref.eq)"
"20-12-2020","08:00",14.493,"R","ugm-3 (Ref.eq)"
"20-12-2020","09:00",15.459,"R","ugm-3 (Ref.eq)"
"20-12-2020","10:00",17.392,"R","ugm-3 (Ref.eq)"
"20-12-2020","11:00",16.425,"R","ugm-3 (Ref.eq)"
"20-12-2020","12:00",13.527,"R","ugm-3 (Ref.eq)"
"20-12-2020","13:00",14.493,"R","ugm-3 (Ref.eq)"
"20-12-2020","14:00",19.324,"R","ugm-3 (Ref.eq)"
"20-12-2020","15:00",14.493,"R","ugm-3 (Ref.eq)"
"20-12-2020","16:00",17.392,"R","ugm-3 (Ref.eq)"
"20-12-2020","17:00",6.763,"R","ugm-3 (Ref.eq)"
"20-12-2020","18:00",19.324,"R","ugm-3 (Ref.eq)"
"20-12-2020","19:00",18.358,"R","ugm-3 (Ref.eq)"
"20-12-2020","20:00",18.358,"R","ugm-3 (Ref.eq)"
"20-12-2020","21:00",10.628,"R","ugm-3 (Ref.eq)"
"20-12-2020","22:00",13.527,"R","ugm-3 (Ref.eq)"
"20-12-2020","23:00",17.392,"R","ugm-3 (Ref.eq)"
"20-12-2020","24:00",14.493,"R","ugm-3 (Ref.eq)"
"03-01-2021","01:00",19.324,"R","ugm-3 (Ref.eq)"
"03-01-2021","02:00",18.358,"R","ugm-3 (Ref.eq)"
