"Date","Time","Nitric_Oxide","Status_1","Unit_1"
"25-07-2022","22:00",2.0293,"R","ugm-3"
"25-07-2022","23:00",0.88782,"R","ugm-3"
"25-07-2022","24:00",1.36343,"R","ugm-3"
"24-07-2023","01:00",0.90721,"R","ugm-3"
"24-07-2023","02:00",8.29449,"R","ugm-3"
"24-07-2023","03:00",0.61561,"R","ugm-3"
"24-07-2023","04:00",3.14283,"R","ugm-3"
"24-07-2023","05:00",3.40204,"R","ugm-3"
"24-07-2023","06:00",8.8453,"R","ugm-3"
"24-07-2023","07:00",18.7274,"R","ugm-3"
"24-07-2023","08:00",20.63902,"R","ugm-3"
"24-07-2023","09:00",18.11179,"R","ugm-3"
"24-07-2023","10:00",12.92774,"R","ugm-3"
"24-07-2023","11:00",15.00136,"R","ugm-3"
"24-07-2023","12:00",10.53011,"R","ugm-3"
"24-07-2023","13:00",12.27973,"R","ugm-3"
"24-07-2023","14:00",7.25768,"R","ugm-3"
"24-07-2023","15:00",13.05734,"R","ugm-3"
"24-07-2023","16:00",9.3961,"R","ugm-3"
"24-07-2023","17:00",8.00289,"R","ugm-3"
"24-07-2023","18:00",5.41086,"R","ugm-3"
"24-07-2023","19:00",6.96607,"R","ugm-3"
"24-07-2023","20:00",6.80407,"R","ugm-3"
"24-07-2023","21:00",4.08244,"R","ugm-3"
"24-07-2023","22:00",3.66124,"R","ugm-3"
"24-07-2023","23:00",3.49924,"R","ugm-3"
"24-07-2023","24:00",1.29602,"R","ugm-3"
