"Date","Time","Nitrogen_Dioxide","Status_2","Unit_2"
"20-12-2020","23:00",24.73669,"R","ugm-3"
"20-12-2020","24:00",6.04012,"R","ugm-3"
"03-01-2021","01:00",16.80911,"R","ugm-3"
"03-01-2021","02:00",13.69436,"R","ugm-3"
"03-01-2021","03:00",14.05376,"R","ugm-3"
"03-01-2021","04:00",12.3019,"R","ugm-3"
"03-01-2021","05:00",7.54159,"R","ugm-3"
"03-01-2021","06:00",6.39704,"R","ugm-3"
"03-01-2021","07:00",9.31528,"R","ugm-3"
"03-01-2021","08:00",8.64045,"R","ugm-3"
"03-01-2021","09:00",12.33335,"R","ugm-3"
"03-01-2021","10:00",13.36586,"R","ugm-3"
"03-01-2021","11:00",14.12436,"R","ugm-3"
"03-01-2021","12:00",15.71733,"R","ugm-3"
"03-01-2021","13:00",14.16492,"R","ugm-3"
"03-01-2021","14:00",17.71625,"R","ugm-3"
"03-01-2021","15:00",17.03501,"R","ugm-3"
"03-01-2021","16:00",21.60293,"R","ugm-3"
"03-01-2021","17:00",34.4018,"R","ugm-3"
"03-01-2021","18:00",29.14762,"R","ugm-3"
"03-01-2021","19:00",20.63536,"R","ugm-3"
"03-01-2021","20:00",15.63518,"R","ugm-3"
"03-01-2021","21:00",18.40812,"R","ugm-3"
"03-01-2021","22:00",20.71647,"R","ugm-3"
"03-01-2021","23:00",16.81065,"R","ugm-3"
"03-01-2021","24:00",16.77523,"R","ugm-3"
"29-11-2021","01:00",9.09626,"R","ugm-3"
"29-11-2021","02:00",9.23172,"R","ugm-3"
"29-11-2021","03:00",6.46521,"R","ugm-3"
"29-11-2021","04:00",8.29782,"R","ugm-3"
"29-11-2021","05:00",10.33399,"R","ugm-3"
"29-11-2021","06:00",11.76335,"R","ugm-3"
"29-11-2021","07:00",24.26699,"R","ugm-3"
"29-11-2021","08:00",32.63022,"R","ugm-3"
"29-11-2021","09:00",47.27889,"R","ugm-3"
"29-11-2021","10:00",37.82932,"R","ugm-3"
"29-11-2021","11:00",37.07974,"R","ugm-3"
"29-11-2021","12:00",40.13807,"R","ugm-3"
"29-11-2021","13:00",39.23648,"R","ugm-3"
"29-11-2021","14:00",53.78023,"R","ugm-3"
"29-11-2021","15:00",58.49056,"R","ugm-3"
"29-11-2021","16:00",60.07934,"R","ugm-3"
"29-11-2021","17:00",74.24928,"R","ugm-3"
"29-11-2021","18:00",73.31369,"R","ugm-3"
"29-11-2021","19:00",70.89289,"R","ugm-3"
"29-11-2021","20:00",49.09282,"R","ugm-3"
"29-11-2021","21:00",43.68894,"R","ugm-3"
"29-11-2021","22:00",34.124,"R","ugm-3"
"29-11-2021","23:00",19.61287,"R","ugm-3"
"29-11-2021","24:00",17.41752,"R","ugm-3"
"25-07-2022","01:00",3.30733,"R","ugm-3"
"25-07-2022","02:00",7.37569,"R","ugm-3"
"25-07-2022","03:00",4.94314,"R","ugm-3"
"25-07-2022","04:00",8.21211,"R","ugm-3"
"25-07-2022","05:00",10.44291,"R","ugm-3"
"25-07-2022","06:00",11.77378,"R","ugm-3"
"25-07-2022","07:00",16.63555,"R","ugm-3"
"25-07-2022","08:00",14.59063,"R","ugm-3"
"25-07-2022","09:00",12.50568,"R","ugm-3"
"25-07-2022","10:00",14.66768,"R","ugm-3"
"25-07-2022","11:00",17.69819,"R","ugm-3"
"25-07-2022","12:00",14.47387,"R","ugm-3"
"25-07-2022","13:00",13.66292,"R","ugm-3"
"25-07-2022","14:00",14.882,"R","ugm-3"
"25-07-2022","15:00",12.3132,"R","ugm-3"
"25-07-2022","16:00",20.08212,"R","ugm-3"
"25-07-2022","17:00",20.90697,"R","ugm-3"
"25-07-2022","18:00",18.8842,"R","ugm-3"
"25-07-2022","19:00",16.8803,"R","ugm-3"
"25-07-2022","20:00",9.3958,"R","ugm-3"
"25-07-2022","21:00",16.10242,"R","ugm-3"
"25-07-2022","22:00",10.78522,"R","ugm-3"
"25-07-2022","23:00",5.5378,"R","ugm-3"
"25-07-2022","24:00",9.04655,"R","ugm-3"
"24-07-2023","01:00",2.31823,"R","ugm-3"
"24-07-2023","02:00",11.97174,"R","ugm-3"
"24-07-2023","03:00",2.33481,"R","ugm-3"
"24-07-2023","04:00",5.81207,"R","ugm-3"
"24-07-2023","05:00",10.87917,"R","ugm-3"
"24-07-2023","06:00",18.82722,"R","ugm-3"
"24-07-2023","07:00",26.67561,"R","ugm-3"
"24-07-2023","08:00",27.71871,"R","ugm-3"
"24-07-2023","09:00",25.63242,"R","ugm-3"
"24-07-2023","10:00",17.1379,"R","ugm-3"
"24-07-2023","11:00",17.23711,"R","ugm-3"
"24-07-2023","12:00",15.54838,"R","ugm-3"
"24-07-2023","13:00",16.7902,"R","ugm-3"
"24-07-2023","14:00",15.84667,"R","ugm-3"
"24-07-2023","15:00",26.62632,"R","ugm-3"
"24-07-2023","16:00",18.97621,"R","ugm-3"
"24-07-2023","17:00",21.85761,"R","ugm-3"
"24-07-2023","18:00",18.77777,"R","ugm-3"
"24-07-2023","19:00",21.01316,"R","ugm-3"
"24-07-2023","20:00",26.7261,"R","ugm-3"
"24-07-2023","21:00",22.00691,"R","ugm-3"
"24-07-2023","22:00",26.5276,"R","ugm-3"
"24-07-2023","23:00",15.79725,"R","ugm-3"
"24-07-2023","24:00",6.60704,"R","ugm-3"
